id,category,title,description,seller_price,buyer_price,short_name
24_6129287692,furniture,Moroccan Berber Azilal Vintage Rug (Pinks),Vintage Moroccan Azilal wool rug measuring 2.8 x 6 feet in rare pinks and earth tones.,500,380,Samsung Gear S2
30_6090261120,housing,Beautiful Home for Rent-Mountain House,"This house is located in Mountain House, CA 95391. 3 bed, 2.5  bath, car garage, 2011 built newer home in very clean condition. Master Bedroom with walk-in closet upstairs laundry room with included washer and dryer. Half Bathroom downstairs",2599,1559,Mountain House
31_6145133652,bike,Mountain bike Ibis Mojo SLR,2013 Ibis Mojo SLR. 140mm travel front and rear. XT build kit. Tubeless. Rock Shox Dropper seat post. Size is small.,1700,1020,Mountain bike
34_6122248307,furniture,Four piece bedroom dressers and drawers and headboard,I have all matching set of two side bed cabinets with large double mirror dresser drawer and standing large dresser all matching look at photos All drawers are complete and in good condition.  In Castro Valley. Asking 400 and it's well worth it.,400,240,Bedroom Set
40_6152844430,electronics,SwissGear Wireless Mobile Laser Presenter *NEW* (pointer powerpoint),SwissGear Wireless Mobile Presenter GA-6258-15. General Features: Glossy black color with red accents From the maker of the genuine swiss army knife! Ergonomic side grips for comfortable hand control Mini USB Receiver snaps into the bottom of presenter to prevent loss 100-foot connectivity range. Integrated laser pointer Slide Forward/Backward Play/Pause Escape Presentation Black Screen On/Off Switch. PC and Mac compatible. Low power consumption - 2 Coin batteries Dimensions: 4.25 x 1.75 x 0.4-inches.,35,26,Mobile Laser Presenter
51_6139162362,furniture,Mid-Century Atomic Lampshade and Base,"Selling this lamp, bought the shade and base separately and find they go so well together.",160,96,Atomic Lamp
54_6129311671,housing,Beautiful 1BR Apartment at a Great Location!,"Pets - Not allowed *The posted rent price does not include parking, which is available at this unit for an additional charge. *Photos are a representation of the unit and may not be entirely the same as the actual unit. *Start your Application process Online now at",1633,979,1-Bed-Room Apartment
59_6128977906,car,2016 Chevy Sonic LTZ,"Clean title, Please call or text for an appointment but I prefer speaking with a real live person. Below are just some of the options included :",10999,6599,Chevy Sonic LTZ
61_6131459916,housing,Parker Apartments - Now Accepting Below Market Rate Applications,"**** Parker is that thrill you feel when inspiration strikes. Perched proudly on Shattuck Avenue in Berkeley, this collection of 155 carefully crafted, sustainably designed apartments offer immediate access to music venues, boutique shopping, nightlife, green space, the Gourmet Ghetto, and",979,744,Parker Apartments
63_6108854259,furniture,Couch and love seat,Couch and love seat from a non-smoking pets free house. Upholstery is clean and doesn't have any stain.,80,73,Couch Set
64_6119925107,furniture,"Beautiful Unique Beijing Cabinet - removable door, hidden drawer",We have remodeled and no longer have a place for this piece. It is one of my favorites. The top of the cabinet has an unhinged door that opens up and can come completely off. Inside that top area is a hidden drawer. The bottom cabinet has two small doors that open to a large storage area. Beautiful piece!,300,276,Cabinet
68_6148204695,bike,Fit Bike VH2,"20.75"" top tube All in perfect working order.Very good condition - no rust - always stored indoors. Shiny. Few scratches/scrapes on pegs, etc, but very well cared for.  Gyro brake.",200,120,Fit Bike
70_6143789948,bike,"Schwinn mountain bike 15""","Selling my 15"" Schwinn mountain bike, 21 speeds, grip shift. Light enough to lift easily.",150,138,Mountain bike
71_6102998429,car,1995 Integra RHD TypeR Rep Converted!,Recently purchased this vehicle and got another project this one has to go. Fully converted to Type R Including -Type R Roof -Type R Doors -Type R JDM Front End Conversion -Type R 5 Lug Conversion with JDM ITR Wheels -B18C5 Engine w/ Paperwork from Acura...LEGIT MOTOR! -JDM CTR LSD Transmission w/ LS 5th Gear -PasswordJDM Carbon Fiber Intake -Air Conditioning Interior: -Double Din DVD Head Unit -Recaro SRD Seats,8500,5100,Sports Car
72_6143909397,furniture,"Rosewood Dining Table, 8 chairs, Corner Cabinet","Serious buyer only.  Please call All furnitures come from a non-smoking, no pet home in San Ramon. Solid Rosewood Corner Cabinet, Chinese Style 24""W x 24""W x 78""H - Corner Cabinet",600,552,Dining Table
73_6149081780,phone,New LG G4 (T-mobile) with protective case,"Bought this phone (a store return), have not activated it yet, it is unused, Tmobile. Tested it once with my existing ATT sim. But realized I need a Dual SIM phone as I travel out of the country sometimes. I even stuck a new screen prot. on it. Case is also new. It is an LG H811.  Selling the Phone + case, keeping the cards + cash ;)  P/U in Fremont, Ardenwood. pls text or call. Thanks. To say it has an excellent camera would not do justice. (Hexa-core Proc, 32GB space / 3GB mem / Grt Battery / MicroSD card slot that supports up to a Terabyte!). Main Display Size: 5.5"" Main Display Resolution: 2560 x 1440 Pixel Density: 538 ppi Main Display Color: 16M Main Display Format: IPS LCD",190,114,LG Smartphone
77_6124692320,furniture,COOL -- OCCASIONAL BLUE GLASS TABLE --,HERE IS ONE VERY COOL OCCASIONAL BLUE GLASS TABLE -- THIS COOL TABLE HAS A GLASS TOP AS WELL AS THE BOTTOM -- ALSO THIS TABLE ADJUST UP AND DOWN -- OVERALL THIS COOL TABLE IS IN EXCELLENT CONDITION -- ONLY 149.00 -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT,149,89,Glass table
79_6149077886,electronics,Ubiquiti Networks,"Price is firm. Just a few month old. As New. With box and all parts.  Great reliable AP. Set up once and forget about it; never need to reboot, restart like consumer AP; especially when you have high demand traffic with lots of concurrent users.  Perfect for large house or business. Can set up as wireless uplink.  Each wire AP can support up to 4 wireless uplinks. Dual Band and up to 400' range. (1) 10/100/1000 Ethernet https://www.ubnt.com/unifi/unifi-ap-ac-lite/",65,49,Ubiquiti Networks Products
80_6131439510,housing,Stop Looking,"Welcome to Lewis Apartment Communities. The Sycamores features studio, 1 and 2 bedroom apartment homes that include: fully equipped kitchen with refrigerator, dishwasher, gas range and microwave, in home washer and dryer, private patio or balcony, non-smoking buildings, and 24 hour emergency maintenance. The Sycamores offers a gated community with two pools, two spas, a 24 hour fitness center, barbecues, green belt and more.",1487,1368,Apartment
81_6154465141,electronics,Back2Life 12-Minute Back Pain Solution ~ Retails $99,Gently Aligns the Spine Safely Releases Pressure and Tension Relieves Back Pain,40,24,None
83_6145362210,furniture,Designer Arm Chairs Moooi Bottoni,"Like new mint condition Total of 4 available 15"" seat height",600,456,Arm chair
85_6127332493,housing,Upgraded Top Floor 2 Bedroom 2 Bath - Great Location! - Walnut Creek,"Newly renovated homes are equipped with top notch features that will truly ""WOW"" you. *Custom Home Design *Stainless steel appliances - refrigerator, stove and dishwasher * Full size in home washer & dryer * Hardwood flooring throughout with carpeted bedroom(s)",3000,2280,Apartment
86_6132798693,car,2007 Chevrolet Colorado,Trade my 2007 Chevrolet Colorado its automatic,6500,5980,mid-size pickup truck
88_6140294992,bike,chrome Schwinn B.M.X.,"I built this bicycle for fun! The frame is from the old Schwinn Bicycle Company (Before they sold to Walmart). It has a very nice set of aluminum rims, decent brakes, and a Mongoose Crankset. Call me up to ride away~",40,30,BMX Bike
89_6145094978,furniture,REDUCED Brass Metal PINWHEEL by Curtis Jere Sculpture wall hanging BIG,"Reduced!  Large brass pinwheel signed (Curtis) 'Jere'.  From 1970s or 1990s.  Approx 45"" diameter. Very sturdy.  4 hooks where you can attach it to the wall.  Great eye catching, whimsical wall sculpture!",450,270,Wall Sculpture
93_6145417407,furniture,WROUGHT IRON CHAIRS (2),The chairs were made for The Gardener in Berkeley CA. Purchased at the Fourth Street location. They are in excellent condition.,150,138,iron chair
96_6146724862,electronics,Philips Sonicare - 2 Series Plaque Control Electric Toothbrush (NEW),"Effectively remove plaque with this Philips Sonicare 2 Series Plaque Control HX6211/04 electric toothbrush, which features Sonic technology that delivers up to 31,000 brush strokes per minute with dynamic fluid action for thorough brushing. Product Features Sonic technology Provides up to 31,000 brush strokes per minute along with dynamic fluid action that helps clean between teeth and along the gumline to effectively remove plaque. Helps ensure you brush for the recommended amount of time.",39,23,Electric Toothbrush
98_6145160194,furniture,"Moving Sale - Desk, Drawer, Free Bed, Etc",I'm getting ready to move cross country and I'm selling my bedroom furnitures Items: -Large black desk and chair (59 x 29.5 x 29.25) -Long Chest of Drawers (62 x 16 x 34),30,22,None
100_6133312739,car,2000 Volvo V70 XC,"* clean title * good condition * excellent leather interior, very good exterior",3000,1800,Station Wagon
104_6141170033,phone,Apple AirPort Express Base Station -OEM,Model A1264 54 Mbps 10/100 Wireless N Router (MB321LL/A),75,45,Wireless Router
106_6132609305,housing,"""FULLY REMODELED"" 4 Bdrm, 1 Bath, Duplex",1519 34th Street #B Rooms: 4 bed / 1 bath Type: Duplex City/Neighborhood: Emeryville Showing: By Appointment Only,3395,3123,Residential Duplex
111_6136164438,phone,"Motorola Hasselblad True Zoom Camera for Moto Z Droid, Moto Z Force Dr","For sale: 1 gently used camera mod for Motorola phone. No dents, no scratches, 100% working as expected.",175,161,Zoom Camera
115_6140668035,furniture,Twin-Sized Futon Chair,Moving out of state and selling an excellent condition twin-sized futon.,100,76,Futon Chair
116_6090916253,car,(-:-)2001 Mercedes E320(-:-),title status: clean title status: clean,3600,3312,Luxury Sedan
119_6151064173,bike,TRIKKE 78 Deluxe/Air Blue,"TRIKKEs are California made ""carving"" machines.   You can use you legs, arms and gravity to generate momentum while standing instead of sitting down like you would with a bike. This is the top of the line steel frame model with air filled, not solid, tires.  It is great for any paved surfaces.  It is very easy to fold to fit in small places and cars to be brought to a park, bike paths or trails. I bought this for my wife as a gift but she only ended up using it twice.  It has always been garaged, never left outside and includes the original instruction manual and DVD. I've attached some links to the mir website, product reviews and some videos: http://www.trikke.com/store/t78-deluxe/#reviews",200,152,Trike
122_6143919096,furniture,L-shaped Computer Desk,Flexibility of Assembly (Choose long and short side) Color: Beech,50,38,Computer Desk
126_6147548914,bike,"Soma Smoothie Road Bike, medium size 54cm, Ultegra","I'm selling my beloved Soma Smoothie in 54cm, due to finally realizing that the fit just doesn't work for me. It's the regular Smoothie, not the ES. Meaning it has very agile geometry but can still fit 700x28s with room to spare (ES has a longer wheelbase, meaning slower handling, and fits 32s). I've used this for everything from fast road rides to light touring and gravel riding; I'd say this is one of the most capable zippy road bikes out there in terms of versatility. Build is Ultegra 6700 10 speed shifters, derailleurs, brakes, and 11-28 Ultegra cassette.",999,919,Road Bike
128_6133011164,car,2012 Toyota Prius,The car never been in accident. The car has 109000 k freeway mileage.,12500,11500,Hybrid Car
129_6134039154,electronics,VINTAGE RARE 1960s MAGNAVOX CONSOLE EXTENSION STEREO SPEAKER,"There is a line in the center of gold tone finished speaker grill.  That has to be a manufacturing flaw as it is on all screens. Here is a rare survivor of great Magnavox speakers. Measures 23 1/2"" wide x 9 1/2"" high x 8"" deep.",50,30,Stereo Speaker
136_6092079842,housing,$1295  Studio Apt in Richmond -walk-in distance to Bart,"-  2601 Center Ave. , Richmond, CA - Kitchen with refrigerator, stove - Full bathroom - 1 year lease and 1 month security based on your credit check and eviction history. - No smoking, no pet  (service animal excluded) - sec 8 welcome - Equal  Housing Opportunity",1295,1191,Studio Apartment
146_6132880154,housing,"Heat, Water & Garbage Paid! Great new place to call home.","Garden Village Apartments offers 1, 2 and 3 bedroom layouts with a range of amenities. Enjoy all-electric kitchens with a walk-in pantry (in select units), dishwashers, and private patios or balconies. We offer the use of tennis, volleyball and basketball courts, a swimming pool, and a playground for children. We also take care of your heat, water and garbage bills! Explore everything Fremont has to offer including entertainment, shopping, parks, and various dining options.",2523,1513,Garden Village Apartment
148_6146759005,phone,Sealed Brand New iPhone 7 128GB Black GSM & CDMA Unlocked w/ Warranty,"This iPhone is sealed with its original box meaning it also comes with all original accessories (headphones, charger cable, charger block). It has 128GB of memory and is completely unlocked (GSM & CDMA) straight from Apple and has a clean IMEI and ESN.",745,685,iPhone
151_6133678665,housing,Beautiful Clean Single story 4Bed/3Bath 2600sf in Dallas Ranch Antioch,"1926 Colosseum Way, Antioch, CA 94531 Please call Ling for application package!",2550,1530,Single-story Apartment
161_6154645178,electronics,[New!] Boston Acoustics A 2310 HTS 5.1 Home Theater Speaker Package,"Hi, I'm selling a New! Boston Acoustics A 2310 HTS 5.1 Home Theater Speaker Package with 100-Watt Powered Subwoofer (Gloss Black) Scratch-resistant high-gloss finish with contrasting ""leatherette"" accents for stunning good looks. Boston's 1-inch Kortec soft dome tweeter deliver smooth, extended high frequency response.",315,189,Acoustics Apartment
165_6145346466,furniture,Custom Convertible Full Oak Wood Dining Table & Chairs Set,"*Must see. Classic, Traditional, & Timeless Furniture piece *Clean Condition. Well maintained. Fully Functional. *Cash only. All sales final. Serious buyers only please. Photos shown are of actual item for sale. Sold as is. * Hand Crafted Artisan Woodwork Design",400,240,Dining set
170_6117049163,car,new bettle,Hi There,4500,2700,Compact Car
172_6144655778,furniture,Herman Miller Tandem Chairs,Vintage Herman Miller Tandem Chairs,1900,1748,Chair
173_6107367609,housing,Stunning Condo huge 1100 Sq Ft,"Absolutely stunning 2 Bedroom 2 Bathroom Condo. 1,100 Sq Ft and in a great Neighborhood. Comes with Washer and Dryer, Refrigerator, Stove, Dishwasher. Gorgeous Wood Flooring, new Carpet. Pool on site, perfect for Summer. This Condo will not last long. *2 Bathrooms *Washer & Dryer *Hwy 242,680,4 close by.",1995,1835,Condo
180_6129291982,furniture,Mid Century Modern MCM side table / nigthstand,The details on this midcentury piece combine to turn an ordinary nightstand into something more understated. The subtle taper of the legs draw inspiration from 60's Danish design and the drawer pull is framed with an elegant wooden feature. Coasters won't be needed in the company of this piece as the top has a layer of formica protecting it. Bears the usual dings and scratches near the bottom of the legs that a well-loved side table would. Features the Lane logo on the botton and inside of the drawer. This vintage mid-century modern walnut piece can be use as a coffee table / side table / nightstand and will bring sophisticated style to any space.  Features a lower shelf for additional storage.,120,91,nigthstand
191_6144317295,furniture,Glass Office Desk,"Hi there! It also comes with a small set of drawers, also in like-new condition.",75,45,Office Desk
204_6130998781,furniture,"Two Kitchen Bar stools with backrest , Excellent condition- HURRY!","Excellent condition, Two Bar stools of very high quality and finish :- The padded seat means you sit comfortably. Footrest for extra sitting comfort. Width: 18 1/2 "" Depth: 23 1/4 "" Seat width: 18 7/8 "" Seat depth: 17 3/8 """,65,49,Kitchen Bar stool
224_6143904730,furniture,Ikea Entertainment Center,"Flexible Ikea entertainment center that can be separated out into three pieces (two shelving units and the base). Pictured with a 40"" TV but could fit something bigger if the middle shelves are moved up or removed completely. All other shelves are adjustable as well. A piece of the backing on the right shelving unit was removed because we kept a stereo on that shelf, but I have the backing and it can easily be re-attached. Excellent condition, just a few minor nicks on the top of the tv stand (pictured). Also comes with an extra glass door.",250,190,Entertainment Center
225_6133004270,housing,Charming Pleasanton Home: Dual Master/2.5 Bath + Pet friendly!,"Beautiful and bright single family home. Features of this property include the following: - Laminate flooring downstairs, new carpet upstairs - Vaulted ceilings throughout - Custom cabinetry in formal dining room - Wood burning fireplace in living room",3300,2508,Single-Family Home
286_6144948169,furniture,***Price Reduced*** Macy's Modern Concepts Sectional Couch with Chaise,A few details about the couch for sale: -- Micro suede fabric (Very light lime/sage green color) -- All 7 back cushions and all 6 seats cushions are removable -- One owner in a non smoker apartment -- Comes with 5 throw pillows -- Originally purchased in 2010 The couch has been in storage the past 18 months.,700,350,Sectional Couch
287_6145081133,bike,Adams trail-a-bike shifter 7,This is an awesome bike trailer for your kid.   It features 7 shiftable gears so that your kid can learn to shift but more importantly shift down or up to continue to help you pedal the bike.    I know that without the shiftable gears my kid would either think the pedaling was too hard at times or going so fast they couldn't feel their pedaling helping.  It took some time to teach them but definitely the way to go.   I highly suggest a shiftable trailer over the non-shifting one.,100,70,Trail Bike
292_6153438552,electronics,Garmin Nuvi 265 WT,"Garmin Nuvi 265 WT with box and carrying case.  This doesn't have the mount, but the power cable is included.  Includes lifetime traffic. It's older technology, but it works fine.",20,10,GPS Navigator
294_6131333547,furniture,IKEA Malm 4-Drawer Chest White,"Move-out sale, like new condition IKEA 4-drawer chest. Regular price 120 + tax Width: 31 1/2 "" Depth: 18 7/8 "" Width: 80 cm",75,52,Drawer Chest
302_6133330729,housing,Good Location North Fremont 3 Bedroom 2 Bath Home,"This is a 3 bedroom, 2 bath detached home. It has a large family kitchen, living room with fireplace, and is located on a quiet street near a great neighborhood park. Freshly painted inside and brand new carpet to be installed.  It is also excellent for commuters. BART is just a short drive from this location and there is easy freeway access.  Good for commuters heading to Menlo Park, Palo Alto, San Jose, Santa Clara, Silicon Valley and San Francisco. It is approximately 1270 square feet. One pet dog or cat may be considered.  Please call",3000,1500,Single-Family Home
307_6127479737,car,2006 TOYOTA SOLARA,"Runs and looks good 6 cylinder great commuter 150,000miles power locks and windows heater ac CD player smogged and ready to go !!!",3500,3150,Convertible Car
313_6144614506,furniture,Wing back chair,Krause's custom furniture wing back accent chair. Almost new condition / excellent condition. No tears or stains. Can be re-upholstered or fitted with a slip cover. Rarely used.,50,35,Chair
315_6131555296,housing,"FURNISHED BERKELEY HOUSE - 3 BEDROOMS, 1 BATH","Large 3 bedrooms house with yard is available June 12. Hardwood floors, storage space in unit, big kitchen and bath room. close to the  Ashby BART station and many cafes.",4000,2800,Single-Family Home
320_6146753886,bike,EXTREMER CRUISER BIKE!!,"I HAVE A EXTREMER CRUISER BIKE, HAS 26"" WHEELS, 6 SPEED, IN GOOD CONDITION! IF INTERESTED OR HAVE ANY QUESTIONS PLEASE DON'T EMAIL. CALL OR TEXT #",250,175,Cruiser Bike
322_6124915368,housing,Beautiful 2 Bedroom Townhouse,"OPEN HOUSE SATURDAY MAY 13th From 2:15pm-3:15pm Beautiful 2 bedroom townhouse in corner unit with lots of light. Built in 2003 with lots of upgrades, in a friendly community developed in 2003. 15 min walk to downtown San Leandro shops, parks, restaurants and San Leandro BART, and easy access to both I-880 and I-580.",2600,2340,Townhouse
329_6151610665,phone,Apple iPhone 5S 16gb Space Gray,Apple iPhone 5S 16gb Space Gray Like New Condition (no scratches anywhere) Will be reset to factory specs before sale,160,144,iPhone
333_6146651014,bike,UPGRADED Superfly 9.7,"I have my 2015 trek Superfly 9.7 up for sale, it's been a great bike for me over the years but sadly must sell it for a new size. I am currently working at a local bike shop and have always made sure it was running perfectly and looking good. I have put in a lot of money to upgrade it and make it a perfect first race bike. Following list contains the new upgrades New Carbon Bontrager RXL bar and stem New XT groupset New XT brakes and rotors New XT cassette and chain",1500,750,Mountain Bike
337_6154741812,electronics,Panasonic Blu-ray player with remote,"Good condition, works great with all DVD as well as Blu-ray movies.",20,18,Blue-ray player
338_6143828309,furniture,"Beautiful Bunk Bed for kids, excellent condition, with mattress","Beautiful bunk bed for kids, free mattresses (no pillows or bed sheets), excellent condition see pic -- nearly same",290,261,Bunk Bed
341_6143901446,bike,Custom Trike,"Ive had this trike 6 years. And ive upgraded parts here and there over that term of time. The sound system also. It has a 1000 watt class A/B JVC amp. Along with two 6x9s Kicker Cs and a component setup of 6"" 3/4 with a half inch dome tweeter on the side by kicker cs. And up front on the handle bars console I have two 1"" Alpine tweeters facing the bike rider with a three combo of socket charger volt meter for the battery status of where is at in power and last but not least it have a dual usb charging socket also. And on the other side facing the streets while Is on the road. It have two 5"" 1/4 kicker cs speakers and two Pioneer bullet tweeters and it has a 20 watt work cree light. Pretty light for the night. All of these things are powered up in individual switches so it can be turned on or off at anytime with out cutting off the music or the chargers. Hit me Up for serious inquires 1,800 O.B.O",1300,1170,Trike
347_6133110316,car,2004 Volvo XC90 AWD clean title 3rd row seat 135k miles,"Runs very well no Problems,Well maintenance always serviced on time recently had the transmission replaced. have all records in hand smog passed with flying colors, Top of the line Model Lather",4500,3150,SUV
350_6110558815,furniture,File Cabinet metal,I have 4 cabinets file metal  4-Drawer for sell. They are good condition. they are black .I sell them for 70$/each.,70,49,File Cabinet
381_6153418238,electronics,Alarm clock Radio,I can also lower down the price for you if you want it's also wireless,12,6,Alarm clock
383_6136596728,furniture,Beautiful Dining table with chairs,"Chair size - 30 3/8""",200,180,Dining Set
385_6132766541,car,2007 Volkswagen Touareg V10 twin turbo diesel,"2007 Volkswagen Touareg V10 twin turbo diesel for sale.  Matte black wrap is currently on it so the paint underneath is still as perfect as the day the wrap went on.  Adjustable air ride suspension and rides smooth as glass, super comfortable. Premium sound package, leather seats, cruise, heated seats, zone temperature control, tow package, premium rims, oversized off road radial tires, wood trim and auto mirrors.  It is the perfect everything car, daily driver, road trip, off roader and hauler.  Hands down the best SUV I have ever owned and I will certainly buy another one.  I am simply selling to pay off student loan debt so don't be surprised if I keep your number so I can try to buy it back. Impeccably maintained by dealer.   It will pass emissions with flying colors.   7700 lbs tow capacity and 770 tongue weight.  This thing is a monster and can haul a 20 foot toy hauler loaded no problem.  18-23mpg.  I get comments and questions about the rig everywhere I go a real head turner.  Price reduced I need this debt out of my life. Make offer 20K OBO.",20000,18000,SUV
386_6144678304,furniture,MCM Walnut Double Dresser,Mid century modern dresser/credenza with a great design! It's got 6 drawers with metal tracks and locks so the drawers don't fall out.,550,275,Double Dresser
387_6149250615,phone,Nokia Batteries - One new one used,I have these two batteries left over from my old phone. Maybe you can use them? Both are in excellent working order and ready to use.,10,9,Phone Batteries
389_6123392275,car,Toyota Tacoma SR 5,"This truck has had one owner, used to move from one place to the next but now I have no room to store it. Otherwise I'd keep it. It has one dent on passenger side (see pictures), pretty minor but otherwise brand new. I had it serviced by a Certified Toyota dealer one month ago for 10,000 miles. Comes with transferable warranty up to 75,000 miles. Price Firm.",27500,19250,Pickup Truck
390_6142140353,furniture,1960's Garden Chairs,"Patio, Porch or indoor outdoor sitting set. Adorable 1960's Parlor Chairs and small table. Chairs are 34""H",100,70,Garden Chairs
396_6144434487,furniture,Brand New Mirrored Nightstand,https://www.hayneedle.com/product/baxton-studio-currin-3-drawer-mirrored-nightstand.cfm,75,67,Nightstand
398_6132921790,car,2007 Toyota Prius Hybrid,"Selling a 2007 Toyota Prius in good running condition , 40+ miles per gallon , no check engine light , everything works just fine. Had backup camera, good air conditioning.",4500,3150,Hybrid Car
407_6132714400,housing,Single Fmly House in Pleasanton w/ Nice Neighborhod / Schools for Rent,"This Home comes with approximately 2,285 sq. ft. of living space, 4 bedrooms, 2 bathrooms and 2 car garage. Possibly can be partitioned more rooms if needed. .	One year lease preferred .	Great Home in Friendly Neighborhood .	Walking distance to Award winning Schools (Donlon Elementary, Hart Middle & Foothill High School) .	easy access to 680, 580 freeways and BART stations .	walking distance to Val Vista park .	Dishwasher, Stove/Oven, refrigerator In Kitchen .	Formal Dining and living room combo",3700,2590,Single-Family Home
414_6131491081,housing,Limited Time! $200 off on our two bedrooms! Apply today!,"Welcome to The Courtyards at 65th St! We're thrilled you're considering living at the Courtyards at 65th St. We have everything you're looking for in your new apartment. Here at the Courtyards, you can enjoy a maintenance-free lifestyle, revel in the beauty of the East Bay's premier apartment community. Your new apartment features: 1.) Granite counter tops in 4th floor apartments (Formica on 1st to 3rd floor) 2.) Gourmet kitchens with maple-style cabinets and Whirlpool black appliances 3.) Built-In Microwave Oven 4.) Washer and Dryer in each home 5.) Phone and data lines with high speed internet access 7.) Hardwood-style flooring in kitchen",3150,2835,Apartment
499_6124818857,bike,2015 Specialized Crave Pro,"Up for sale is my like new condition 2015 Specialized Crave Pro 29er mountain bike. This super light weight M4 aluminum top of the line machine has been ridden less than 100 miles!! It's in perfect condition with upgrades. Features the all new Shimano XT components, Fox Evolution suspension, shimano SLX Deore Hydrolic disc brakes. Price is firm. Come take her for a spin.",1100,990,Mountain Bike
500_6133384650,housing,Large three bedrooms and one bathroom available at 2540 Regent st,2540 Regent St. is a small building with 9 units. It is located just off of Telegraph Ave. between Parker St. and Dwight Way.  Nearby are lots of restaurants and shops.  Walking distance to U C Berkeley and Telegraph Ave. AC Transit Lines.  Parking is available in a garage under the building.  Coin laundry is on site. Gated Entry.,3995,3595,Apartment
502_6125407568,phone,BlackBerry Chargers,"OEM BlackBerry Chargers, all in great condition, AC power supply (Comes with international power attachments for the UK, EU and AU are included)",25,22,Phone Chargers
